avg_rating,bitdepth,bitrate,channels,description,duration,id,license,name,num_ratings,preview-hq-mp3,preview-hq-ogg,samplerate,tags,type,url,username
4.416666666666665,16,705,1,Emulations of the Linn drum machine using Drumsynth.,0.11179138322,4351,http://creativecommons.org/licenses/by/3.0/,linn snare.wav,18,https://www.freesound.org/data/previews/4/4351_4948-hq.mp3,https://www.freesound.org/data/previews/4/4351_4948-hq.ogg,44100.0,snare kit linn drum percussion simulated machine,wav,https://www.freesound.org/people/NoiseCollector/sounds/4351/,NoiseCollector
4.166666666666665,16,1411,2,"This is part of a sound set i've done in 2002 during a session testing Deconstructor from Tobybear, the basic version
was a simple drum-loop, sliced and processed with pitchshifting, panning, tremolo, delay, reverb, vocoder.. and all those cool onboard fx
Tweaking here and there the original sound was completely mangled..
i saved the work in 2 folders: 'deconstruction-set' contain the longer slices (meant to be used with a sampler), 'deconstruction-kit' collects the smallest slices (to be used in a drum machine)
",0.62387755102,25260,http://creativecommons.org/licenses/by/3.0/,deconstruction-set_wet.wav,15,https://www.freesound.org/data/previews/25/25260_308-hq.mp3,https://www.freesound.org/data/previews/25/25260_308-hq.ogg,44100.0,crash liquid wet meachanical hi-tech button cyborg electro alien mutate processing robot soundesign switch clack transform click digital effect fx glitch slices cuts soundeffect noise,wav,https://www.freesound.org/people/suonho/sounds/25260/,suonho
4.23076923076923,16,1411,2,"bad telecommunications like sounds.. overloads, chaos, crashes, puting.. the same method used for my ""FutuRetroComputing"" pack : a few selfmade vsti patches, highly processed with lots of virtual digital gear (transverb, heizenbox, robobear, cyclotron ...) producing some ""clash"" between analog and digital sounds(part of a pack of 12 samples) ",2.26385487528,4014,http://creativecommons.org/licenses/by/3.0/,systemrestore_iLLCommunications_suonho.wav,39,https://www.freesound.org/data/previews/4/4014_308-hq.mp3,https://www.freesound.org/data/previews/4/4014_308-hq.ogg,44100.0,vintage future laser loading movie off sci-fi scoring signal soundeffect soundesign soundtrack space spaceship switch cartoon commnication effect energy film funny info lab analog oldschool retro fx computing data digital synth synthesizer computer bleep tlc,wav,https://www.freesound.org/people/suonho/sounds/4014/,suonho
0.0,24,1128,1,see name and tags,12.2446,126951,http://creativecommons.org/licenses/by/3.0/,man walking indoors with leather leathery shows and stops footsteps foley.wav,0,https://www.freesound.org/data/previews/126/126951_149596-hq.mp3,https://www.freesound.org/data/previews/126/126951_149596-hq.ogg,48000.0,foley footsteps indoors leather leathery man shoes walking,wav,https://www.freesound.org/people/bulbastre/sounds/126951/,bulbastre
2.6,16,1381,2,Gun-shot synthesized with Agiletimbres.,13.3166,151556,http://creativecommons.org/licenses/by/3.0/,Machinegun-ish 9,5,https://www.freesound.org/data/previews/151/151556_755551-hq.mp3,https://www.freesound.org/data/previews/151/151556_755551-hq.ogg,44100.0,machine-gun ish single machine machinegun gun fire synthesized,wav,https://www.freesound.org/people/tcpp/sounds/151556/,tcpp
4.07142857142857,16,1411,2,"bad telecommunications like sounds.. overloads, chaos, crashes, puting.. the same method used for my ""FutuRetroComputing"" pack : a few selfmade vsti patches, highly processed with lots of virtual digital gear (transverb, heizenbox, robobear, cyclotron ...) producing some ""clash"" between analog and digital sounds(part of a pack of 12 samples) ",2.69732426304,4013,http://creativecommons.org/licenses/by/3.0/,systemoverload_iLLCommunications_suonho.wav,42,https://www.freesound.org/data/previews/4/4013_308-hq.mp3,https://www.freesound.org/data/previews/4/4013_308-hq.ogg,44100.0,vintage synth synthesizer analog cartoon commnication computing crash data digital effect film funny future fx info lab movie oldschool overload retro sci-fi scoring signal soundeffect soundesign soundtrack space spaceship bleep computer tlc,wav,https://www.freesound.org/people/suonho/sounds/4013/,suonho
4.714285714285715,16,1411,2,"bad telecommunications like sounds.. overloads, chaos, crashes, puting.. the same method used for my ""FutuRetroComputing"" pack : a few selfmade vsti patches, highly processed with lots of virtual digital gear (transverb, heizenbox, robobear, cyclotron ...) producing some ""clash"" between analog and digital sounds(part of a pack of 12 samples) ",1.15276643991,4012,http://creativecommons.org/licenses/by/3.0/,sweetchon_iLLCommunications_suonho.wav,7,https://www.freesound.org/data/previews/4/4012_308-hq.mp3,https://www.freesound.org/data/previews/4/4012_308-hq.ogg,44100.0,vintage switch synth synthesizer analog cartoon commnication computing data digital effect film funny future fx info movie off oldschool retro sci-fi scoring signal soundeffect soundesign soundtrack space spaceship lab bleep tlc computer,wav,https://www.freesound.org/people/suonho/sounds/4012/,suonho
3.90566037735849,16,1411,2,"bad telecommunications like sounds.. overloads, chaos, crashes, puting.. the same method used for my ""FutuRetroComputing"" pack : a few selfmade vsti patches, highly processed with lots of virtual digital gear (transverb, heizenbox, robobear, cyclotron ...) producing some ""clash"" between analog and digital sounds(part of a pack of 12 samples) ",0.978571428571,4011,http://creativecommons.org/licenses/by/3.0/,sweetchoff_iLLCommunications_suonho.wav,53,https://www.freesound.org/data/previews/4/4011_308-hq.mp3,https://www.freesound.org/data/previews/4/4011_308-hq.ogg,44100.0,vintage synth synthesizer analog cartoon commnication computing data digital effect film funny future fx info lab movie off oldschool retro sci-fi scoring signal soundeffect soundesign soundtrack space spaceship switch bleep computer tlc,wav,https://www.freesound.org/people/suonho/sounds/4011/,suonho
4.02941176470588,16,1411,2,"bad telecommunications like sounds.. overloads, chaos, crashes, puting.. the same method used for my ""FutuRetroComputing"" pack : a few selfmade vsti patches, highly processed with lots of virtual digital gear (transverb, heizenbox, robobear, cyclotron ...) producing some ""clash"" between analog and digital sounds(part of a pack of 12 samples) ",2.6989569161,4008,http://creativecommons.org/licenses/by/3.0/,hijacked_iLLCommunications_suonho.wav,17,https://www.freesound.org/data/previews/4/4008_308-hq.mp3,https://www.freesound.org/data/previews/4/4008_308-hq.ogg,44100.0,future film soundesign pod plug movie connect soundtrack cartoon funny scoring signal space commnication sci-fi soundeffect effect oldschool synth digital retro data fx synthesizer analog computing lab info computer bleep tlc,wav,https://www.freesound.org/people/suonho/sounds/4008/,suonho
4.323529411764705,16,1411,2,"bad telecommunications like sounds.. overloads, chaos, crashes, puting.. the same method used for my ""FutuRetroComputing"" pack : a few selfmade vsti patches, highly processed with lots of virtual digital gear (transverb, heizenbox, robobear, cyclotron ...) producing some ""clash"" between analog and digital sounds(part of a pack of 12 samples) ",3.74131519274,4005,http://creativecommons.org/licenses/by/3.0/,biopod_iLLCommunications_suonho.wav,34,https://www.freesound.org/data/previews/4/4005_308-hq.mp3,https://www.freesound.org/data/previews/4/4005_308-hq.ogg,44100.0,vintage biopod synth synthesizer analog cartoon commnication computing data digital effect film funny future fx info lab movie oldschool organic plug pod retro sci-fi scoring signal soundeffect soundesign soundtrack space spaceship bleep computer tlc,wav,https://www.freesound.org/people/suonho/sounds/4005/,suonho
